phrases,frequency,category_type
tim benar lah,5,Negative Feedback (Trigram)
dapat tim bot,5,Negative Feedback (Trigram)
kasih tim dark,5,Negative Feedback (Trigram)
kasih tim bot,5,Negative Feedback (Trigram)
dapat tim dark,5,Negative Feedback (Trigram)
kasih kalah selalu,4,Negative Feedback (Trigram)
mending main lain,4,Negative Feedback (Trigram)
tim bot selalu,4,Negative Feedback (Trigram)
sedangkan tim musuh,4,Negative Feedback (Trigram)
setiap main pasti,4,Negative Feedback (Trigram)
lose streak terus,4,Negative Feedback (Trigram)
musuh jago semua,4,Negative Feedback (Trigram)
beri lose streak,4,Negative Feedback (Trigram)
susah dapat tim,4,Negative Feedback (Trigram)
dark sistem selalu,4,Negative Feedback (Trigram)
dapat tim beban,4,Negative Feedback (Trigram)
dapat tim seperti,4,Negative Feedback (Trigram)
beri tim bot,4,Negative Feedback (Trigram)
satu bintang lagi,4,Negative Feedback (Trigram)
main sendiri ketemu,4,Negative Feedback (Trigram)
buat player sendiri,4,Negative Feedback (Trigram)
lose streak selalu,3,Negative Feedback (Trigram)
adil sekali tim,3,Negative Feedback (Trigram)
semakin malas main,3,Negative Feedback (Trigram)
perbaiki lagi sistem,3,Negative Feedback (Trigram)
jago sedangkan tim,3,Negative Feedback (Trigram)
setiap main selalu,3,Negative Feedback (Trigram)
bagus bagus,81,Positive Feedback (Bigram)
suka suka,33,Positive Feedback (Bigram)
bagus sekali,31,Positive Feedback (Bigram)
seru sekali,30,Positive Feedback (Bigram)
dark sistem,27,Positive Feedback (Bigram)
kasih bintang,27,Positive Feedback (Bigram)
sedih sedih,19,Positive Feedback (Bigram)
kasih tim,14,Positive Feedback (Bigram)
suka sekali,11,Positive Feedback (Bigram)
dapat tim,11,Positive Feedback (Bigram)
tim musuh,10,Positive Feedback (Bigram)
dark system,10,Positive Feedback (Bigram)
lose streak,10,Positive Feedback (Bigram)
naik rank,9,Positive Feedback (Bigram)
bintang lima,9,Positive Feedback (Bigram)
main bersama,9,Positive Feedback (Bigram)
bintang agar,8,Positive Feedback (Bigram)
beri tim,8,Positive Feedback (Bigram)
main sendiri,8,Positive Feedback (Bigram)
tim dark,8,Positive Feedback (Bigram)
kasih menang,8,Positive Feedback (Bigram)
sekali main,7,Positive Feedback (Bigram)
bagus sih,7,Positive Feedback (Bigram)
tim bot,6,Positive Feedback (Bigram)
buat stres,6,Positive Feedback (Bigram)
sedangkan tim,6,Positive Feedback (Bigram)
seru main,6,Positive Feedback (Bigram)
kasih skin,6,Positive Feedback (Bigram)
ping merah,6,Positive Feedback (Bigram)
tim lawan,5,Positive Feedback (Bigram)
kalah terus,5,Positive Feedback (Bigram)
jangan kasih,5,Positive Feedback (Bigram)
tiba tiba,5,Positive Feedback (Bigram)
jago jago,5,Positive Feedback (Bigram)
dapat team,5,Positive Feedback (Bigram)
selalu dapat,5,Positive Feedback (Bigram)
gamenya bagus,5,Positive Feedback (Bigram)
sering sekali,5,Positive Feedback (Bigram)
baru main,5,Positive Feedback (Bigram)
rank mythic,5,Positive Feedback (Bigram)
sekali buat,5,Positive Feedback (Bigram)
bagus banyak,5,Positive Feedback (Bigram)
pas mau,5,Positive Feedback (Bigram)
menang terus,5,Positive Feedback (Bigram)
musuh jago,5,Positive Feedback (Bigram)
bagus buat,4,Positive Feedback (Bigram)
lumayan bagus,4,Positive Feedback (Bigram)
terus menerus,4,Positive Feedback (Bigram)
perbaiki ya,4,Positive Feedback (Bigram)
cocok buat,4,Positive Feedback (Bigram)
bagus bagus bagus,66,Positive Feedback (Trigram)
sedih sedih sedih,10,Positive Feedback (Trigram)
kasih bintang agar,8,Positive Feedback (Trigram)
kasih bintang lima,7,Positive Feedback (Trigram)
tim dark sistem,6,Positive Feedback (Trigram)
kasih dark sistem,4,Positive Feedback (Trigram)
sengaja kasih bintang,4,Positive Feedback (Trigram)
ketemu dark sistem,3,Positive Feedback (Trigram)
main bersama teman,3,Positive Feedback (Trigram)
sekali dua kali,3,Positive Feedback (Trigram)
seru sekali senang,3,Positive Feedback (Trigram)
dark sistem musuh,3,Positive Feedback (Trigram)
tim musuh jago,3,Positive Feedback (Trigram)
musuhnya jago jago,2,Positive Feedback (Trigram)
saat pemilihan tim,2,Positive Feedback (Trigram)
sekali senang senang,2,Positive Feedback (Trigram)
sekarang kasih bintang,2,Positive Feedback (Trigram)
selalu dapat team,2,Positive Feedback (Trigram)
musuh jago jago,2,Positive Feedback (Trigram)
anak kecil main,2,Positive Feedback (Trigram)
sering dapat tim,2,Positive Feedback (Trigram)
selalu dapat tim,2,Positive Feedback (Trigram)
menang sedih sedih,2,Positive Feedback (Trigram)
seru apa lagi,2,Positive Feedback (Trigram)
seru sekali buat,2,Positive Feedback (Trigram)
seru sekali main,2,Positive Feedback (Trigram)
seru sekali seperti,2,Positive Feedback (Trigram)
sistem matchmaking agar,2,Positive Feedback (Trigram)
sistem musuh jago,2,Positive Feedback (Trigram)
suka sekali seru,2,Positive Feedback (Trigram)
teman blokir yak,2,Positive Feedback (Trigram)
terima kasih telah,2,Positive Feedback (Trigram)
tiba tiba lag,2,Positive Feedback (Trigram)
tim bot musuhnya,2,Positive Feedback (Trigram)
tinggi sedangkan tim,2,Positive Feedback (Trigram)
menang sekali kalah,2,Positive Feedback (Trigram)
main kadang kadang,2,Positive Feedback (Trigram)
matchmaking adil tim,2,Positive Feedback (Trigram)
darah tinggi kasih,2,Positive Feedback (Trigram)
banyak dark sistem,2,Positive Feedback (Trigram)
banyak dark system,2,Positive Feedback (Trigram)
beri bintang lima,2,Positive Feedback (Trigram)
beri lose streak,2,Positive Feedback (Trigram)
beri musuh ahli,2,Positive Feedback (Trigram)
bintang agar atas,2,Positive Feedback (Trigram)
bintang lima agar,2,Positive Feedback (Trigram)
bot musuhnya jago,2,Positive Feedback (Trigram)
cocok buat santai,2,Positive Feedback (Trigram)
dapat tim bot,2,Positive Feedback (Trigram)
dapat tim dark,2,Positive Feedback (Trigram)
